WARNING: Logging before flag parsing goes to stderr.
W0221 07:19:46.991123 123550689871488 __init__.py:74] TensorFlow version 1.15.0 detected. Last version known to be fully compatible is 1.14.0 .
Loading model models/devatrain_best.mlmodel	✓
Evaluating models/devatrain_best.mlmodel
=== report  ===

378197	Characters
22732	Errors
93.99%	Accuracy

10752	Insertions
3179	Deletions
8801	Substitutions

Count	Missed	%Right
85635	2791	96.74%	Common
292560	16760	94.27%	Devanagari
2	2	0.00%	Inherited

Errors	Correct-Generated
2546	{ DEVANAGARI SIGN VIRAMA } - {  }
917	{ र } - {  }
721	{ DEVANAGARI SIGN ANUSVARA } - {  }
695	{  } - { DEVANAGARI SIGN VIRAMA }
469	{ SPACE } - {  }
462	{ त } - {  }
384	{  } - { SPACE }
277	{ व } - {  }
276	{  } - { र }
273	{ DEVANAGARI SIGN NUKTA } - {  }
264	{ DEVANAGARI VOWEL SIGN AA } - {  }
222	{ DEVANAGARI VOWEL SIGN U } - {  }
212	{  } - { DEVANAGARI SIGN ANUSVARA }
194	{ प } - {  }
189	{ ष } - {  }
188	{ य } - {  }
177	{ DEVANAGARI VOWEL SIGN I } - {  }
171	{ : } - { DEVANAGARI SIGN VISARGA }
165	{ न } - { र }
156	{ DEVANAGARI VOWEL SIGN E } - {  }
154	{ द } - {  }
151	{ DEVANAGARI SIGN VISARGA } - {  }
149	{  } - { DEVANAGARI VOWEL SIGN AA }
146	{ न } - {  }
143	{ . } - {  }
141	{ च } - { व }
138	{ च } - {  }
135	{ ध } - { थ }
127	{  } - { व }
125	{ क } - {  }
120	{ ध } - {  }
115	{ श } - {  }
114	{ ञ } - {  }
114	{ स } - { म }
111	{ म } - {  }
110	{ ज } - {  }
105	{ ब } - { व }
105	{ व } - { य }
103	{ DEVANAGARI SIGN NUKTA } - { DEVANAGARI SIGN VIRAMA }
101	{ DEVANAGARI VOWEL SIGN VOCALIC R } - {  }
98	{ ग } - {  }
97	{  } - { DEVANAGARI VOWEL SIGN E }
96	{ ल } - {  }
95	{  } - { औ }
95	{ DEVANAGARI VOWEL SIGN UU } - {  }
